month,year,leadsource,city,model,email_delivered,email_open,email_click,sms_delivered
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aizwal,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aizwal,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aizwal,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajaigarh,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,CIVIC DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajmer,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajnala,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajnala,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ajra,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akalgarh,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akaltara,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akbarpur,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akbarpur,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akbarpur,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akhnoor,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akhnoor,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akkalkot,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akkalkot,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akkalkot,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akkalkot,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akkalkot,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aklera,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aklera,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aklera,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aklera,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,5TH GEN CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,CR-V,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akola,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akot,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akot,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akot,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Akot,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aland,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aland,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aland,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alangayam,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alapakkam,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,5TH GEN CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,5TH GEN CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,CIVIC DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,CIVIC PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alappuzha,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aldana,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alibag,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alibag,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alibag,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Alibag,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Aligarh,5TH GEN CITY DE,,,,21
